下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
こくこく、んくっ……ふふ、ご主人様の精液、美味しい……ちゅぷ、んく、こくっ……	…… 후후, 주인님의 정액 맛있어…… ……
ご主人様にそう言ってもらえるなんて、嬉しいわ……。ふふ、もっとしましょう、ご主人様。	주인님이 그렇게 말해 주니 기뻐……. 후후, 좀 더 하자, 주인님.
あぁ、もちろんだよ。	아아, 물론이야.
はぁ、んぅう……ふふ、ご主人様、今二人きりね……	하아…… 후후, 주인님, 지금 둘만 있네……
あぁ、そうだね……どうしたの、ずいぶんと機嫌が良さそうじゃないか。	아아, 그러네…… 왜 그래, 기분이 되게 좋아 보이는데.
だって、ご主人様と一緒だし、お酒も飲んでるし……機嫌が良くならないわけがないでしょう？	그게, 주인님이랑 같이 술도 마시고 있고…… 기분이 좋아지지 않을 이유가 없잖아?
はは、それは嬉しいな。	하하, 그건 기쁘네.
だから、ね。……ご主人様、ここでキスしていい？	그러니, 까…… 주인님, 여기서 키스 해도 돼?
はぅ、んちゅ、んん……ご主人様ぁ、ちゅ、ちゅぷぅ……好きぃ、んぅう、大好きぃ……	…… 주인님, 좋아…… 너무 좋아……
もう我慢できない、ちゅぱっ、ここでもう、ご奉仕したい……れろぉ、ちゅ、んちゅぷぅ……	이제 못 참겠어. 여기서 바로 봉사하고 싶어…………
はぅ、じゅぷぅ……ちゅるぅ……本気よ、ご主人様ぁ……んちゅ、頭ふわふわして、すごく良い気分なの……	…… …… 진심이야, 주인님…… 머리가 어질어질해, 엄청 좋은 기분이야……
だってご主人様といたら、身体が疼いてきたから……。それよりも、ご主人様……早く挿れてほしい……	그게 주인님이랑 있으면 몸이 달아오르니까……. 그보다도, 주인님…… 빨리 넣어줬으면 좋겠어……
はぁ、んくぅん……！　奥まで太いのが、あっ、あっ……届いてる、んん、これが欲しかったの、はぅん……	하아……! 안쪽까지 굵은 것이…… 닿고 있어…… 이걸 갖고 싶었어……
カリが引っ掛かって、あぁ、んく……そこ、はぅ……先っぽが奥に当たって、あぅう、声抑えられない……！	귀두가 들어와서, 아아…… 거기…… 끝이 안쪽에 닿아서…… 소리를 못 참겠어……!
だって、ご主人様の気持ち良いからぁ、はぅん……私、頭の中ふわふわして、んくぅ、もっと激しくして、ご主人様ぁ……	그치만 주인님의 거기 기분 좋으니까…… 나 머릿속이 어질어질해…… 좀 더 격렬하게 해줘, 주인님……
そうか。それなら遠慮なく……	그런가. 그럼 사양하지 않고……
んんん～～～っ！　はぁはぁ、あぅ、ご主人様で、中がいっぱい、んく、ぁああああっ！	……하아하아, 주인님으로 안이 가득……!
んぅ、いやらしい音鳴ってる、はぅう、ご主人様にぜんぶ聞かれてる、あぁ、はぅうん！	야한 소리가 나오고 있어…… 주인님에게 전부 들리고 있어……!
き、気持ち良い、はぅ、わたし、ご主人様の事大好きで……あっ、んぅうう！　ご奉仕できるのが、嬉しいの……！	기, 기분 좋아, 나, 주인님을 정말 좋아해…… ! 봉사할 수 있다는 게 기뻐……!
もちろんよ、ご主人様ぁ、んくぅん！　はぁ、あぁん！　もっとたくさん、ご主人様を感じさせて……！	물론이야, 주인님…… 좀 더 잔뜩 주인님을 느끼게 해줘……!
んん、はぅう、ご主人様の熱くて、はぁはぁ、私の身体、疼いてくる……！　こ、こんなにされたら私、私ぃ、んひぃん！	……주인님의 것 뜨거워서, 하아하아, 내 몸이 달아 올라……! 이, 이렇게 되면 나, 나……!
あぅう、ご主人様ぁ！　そ、そんな事言われたら、抑えられなくなるぅ、んく、ひゃぁん！　私の中、もうぐちゅぐちゅで、はぅううう……！	……주인님! 그, 그런 걸 말하면, 참을 수 없어……! 내 안, 벌써 질척질척해……!
あっ、あっ、もう駄目ぇ！　奥まで熱くて、このまま蕩けるっ、んぅ、はぅうん！　好き、大好き、ご主人様ぁ！　ぁあああああっ……！	……이제 안돼! 안쪽까지 뜨거워져서 이대로 녹겠어……! 좋아해, 너무 좋아해, 주인님! 아아아앗……!
んひぃぃぃぃぃぃぃん！　はぅう、あぅううううん……！	…………!
膣内が収縮して、肉襞が精液を絞り出すかのようにペニスを刺激する。	질 내가 수축하고 질벽이 정액을 짜내려는 듯이 페니스를 자극한다.
はぅうううう……！　んくぅ、うぅう、す、すごい、ご主人様の精液が、奥にぃ……私の奥に、注ぎ込まれて、はぅ、熱いぃ……	…… 대, 대단해, 주인님의 정액이, 안쪽에…… 내 안쪽에 쏟아져서…… 뜨거워……
精液、こんなに……。嬉しいわ、ご主人様……んぅ、私の中で、こんなに感じてくれるなんて……	정액, 이렇게나……. 기뻐, 주인님…… 내 안에서 이렇게 느껴 주다니……
あぁ、ご主人様ぁ……精液勿体ない、はぅう……せっかく熱くて濃いの、こんなに出してくれたのに、零れて……	아아, 주인님…… 정액 아까워…… 모처럼 뜨겁고 진한 걸 이렇게 싸줬는데 흘러넘쳐……
大丈夫だよ、また出してあげるから。……それに、夜伽はまだまだこれからだろ？	괜찮아, 또 싸줄테니까. …… 그리고 밤시중은 아직 지금부터인데?
……そうね。わかったわ、ご主人様……んぅ、場所を変えて、続きをしましょう……？	…… 그러네, 알았어. 주인님……  장소를 바꿔서 계속 하자……?
ごめん、ご主人様……。んぅ……私、もう我慢できない、はぁ、はぁ……	미안, 주인님……. …… 나 이제 참을 수 없어, 하아, 하아……
我慢できないって、何が？	참을 수 없다니, 뭐가?
なんだかふわふわして、はぅう……いやらしい事で頭がいっぱいになってるから……	뭔가 어질어질 해…… 야한 일로 머리가 가득 차서……
ふぅん、そうなんだ。……それなら、自分ですればいいじゃないかな？	흠, 그렇구나…… 그럼 스스로 하면 되잖아?
じ、自分で……？　ご主人様は、その……してくれない……？　あぁ、はぅう……	스, 스스로……? 주인님이 그…… 해 주지 않을래……? ……
んぅ、それなら一人でする……はぁ、うぅ、このまま何もしないなんて、耐えられないから、はぁ、あぅうん……	……그럼 혼자서 할래…… 하아, 이대로 아무것도 안하면, 못 참겠으니까, 하아……
はぁ、あぅん……んん、身体がなんだか火照ってる……うぅ、ご主人様と一緒にいるだけで、ドキドキしてしまって……	하아…… 몸이 뭔가 달아오르고 있어…… 주인님이랑 함께 있는 것만으로도 두근거려……
ご主人様の前で、私ぃ、んぅう……自分の中弄って、はぁ、はぅう……こんないやらしい事してるなんて……ご主人様、嫌いにならないでね……	주인님의 앞에서 나…… 스스로 만지작거리고…… 이런 야한 짓을 하고 있어…… 주인님, 싫어하지 말아줘……
嫌いになったりしないけど……もしかして、俺の事を考えてオナニーしてる？	싫어하지는 않지만…… 혹시 날 생각하면서 자위하고 있어?
そ、それは、はぅん……だって、目の前にご主人様いるのに、触ってくれないから、自分でくちゅくちゅってして、んん……	그, 그건…… 그치만 눈앞에 주인님이 있는데 만져 주지 않으니까, 스스로 찔꺽찔꺽……
言わないでほしい、そんな事、はぁ、んぅう！　もうぐちゅぐちゅってして、あぅ、敏感なところ、硬くなってる……！	말하지 말아줘, 그런 거……! 벌써 질척질척해…… 민감한 곳이 딱딱해지고 있어……!
そしてそのまま、熱く充血しているクリトリスを指で弄り始めた。	그리고 그대로, 뜨겁게 충혈되어 있는 클리토리스를 손가락으로 만지작거리기 시작했다.
んひぃいん！？　あぁ、はぁはぁ、身体疼く、んん！　ご主人様の前で、もう止まらないぃ……！　熱くて、私ぃ、ぁあああっ！	……아아, 하아하아, 몸이 달아올라……! 주인님의 앞에서, 이제 멈출 수 없어……! 뜨거워서, 나……!
ずいぶんな乱れようだね。もうイキそうなの？	꽤나 흐트러지네. 이제 갈 것 같아?
え、ええ、もうイキそう、あぁ、んひぃん！　オナニー気持ち良くて、私駄目になりそう！　ひぅう！　はぁはぁ、んはぁあん！	으, 응, 이제 갈 것 같아……! 자위 기분 좋아서, 나 안될 것 같아! 하아하아……!
ご、ご主人様、あぅう、私がイクところ、見ていて！　ぁああっ、んぅ！　はぁん！　も、もう、イクぅ、ひやぁぁぁぁぁぁぁん！！	주, 주인님…… 내가 가는 걸 보고 있어! ……이, 이제 가버려……!!
はぁっ！　ん、くっ……んんんんんん～～～～～～～～！！	하앗! ……!!
その指先は自らの雫で濡れそぼり、卑猥な色気を湛えていた。	그 손가락 끝은 자신의 물방울로 흠뻑 젖어, 음란하게 반짝거리고 있었다.
はぁあ、んん～～～っ……あぁ、んぅう……ぐちゅぐちゅってしながら、私……。あぁ、こんなところで、オナニーでイクなんて……	하아…… 아아…… 질척질척 하면서 나……. 아아, 이런데서 자위로 가버리다니……
どう、気持ち良かった？	어때, 기분 좋았어?
すごく、んぅ……気持ち良かったわ……。だけど……	엄청…… 기분 좋았어……. 그런데……
だけど？	그런데?
自分でするだけじゃ、物足りない……。オナニーだけじゃ満足できないから、はぅうう……ご主人様としたい……	스스로 하는 걸로는 부족해……. 자위만으로는 만족 못하니까…… 주인님으로 하고 싶어……
すでに気持ちは、これからの夜伽でいっぱいになっているのだった。	이미 마음은 앞으로의 밤시중으로 가득 차있는 것이었다.
はぅう、ご主人様ぁ……。ちょっと、その……待ってもらっていいかしら？　はぁ、んぅっ……	주인님……. 잠깐, 그…… 기다려줄수 있을까? ……
傍目にもふらふらしているのがわかる。	옆에서 보기에도 휘청거리고 있는 것을 알 수 있다.
え、ええ、そうね……。はぅ、そのせいで、私ぃ……むずむずしてるから……	으, 응, 그러네……. 그래서 나…… 근질근질거려……
むずむずしてるっていうのは？	근질근질하고 있다는 건?
その、トイレに行きたい……。もう我慢できなくなりそうで、はぅう……このままだと、ここで漏れる……	그, 화장실 가고 싶어……. 이제 못 참겠어…… 이대로면 여기서 흘러나와……
ふぅん。漏らしちゃえば？	흐음. 나오게 하면 되잖아?
……え？　も、漏らすって……おしっこ、ここでって事……？　うぅ、ご主人様、何を言ってるの……	…… 응? 나, 나오게 하라니…… 오줌을 여기서……? 주인님, 무슨 말을 하는 거야……
ド、ドキドキなんて、してない……。んぅ……でもご主人様は、自分のメイドがこんなところで粗相をしていいの……？	두, 두근거리고 있지 않아……. …… 그치만 주인님은 자기 메이드가 이런데서 실수해도 괜찮은 거야……?
はぁ、はぅう……わ、私は、私は……その……	하아…… 나, 나는, 나는…… 그……
……大丈夫だよ。俺以外に、誰も見てる人なんかいないからさ。	…… 괜찮아. 나 말고는 아무도 보는 사람 없으니까.
わ、わかったわ……。私も、もう限界だったから、はぁ、んぅっ……	아, 알았어……. 나도 이제 한계니까, 하아……
私、こんなところでおしっこしようとしてるなんて……はぁ、あぅう、まるで変態みたい……	나, 이런데서 오줌누려고 하다니…… 마치 변태같아……
……ご主人様、意地悪言わないでほしい……。あぅ、も、もう出る、我慢できないぃ……	…… 주인님, 짓궂게 말하지 말아줘……. 이, 이제 나오는 거 못 참겠어……
はぁ、あぅう、だ、誰が来るかもしれないような場所で、ご主人様の前で……漏れる、おしっこ漏れる……っ！　ぁああああっ……！	하아…… 누, 누가 올지도 모르는 곳에서, 주인님의 앞에서…… 나와, 오줌 나와……!
尿が地面に雫を放ち、水溜りができていく。	지면에 오줌 물방울을 날려서 웅덩이가 생기고 있다.
どう、おしっこ漏らした気分は？	어때, 오줌 싼 기분은?
はぁ、はぁ……い、いけない事なのに、気持ち良くて、私ぃ……。駄目、ここお掃除しないと……	하아, 하아…… 아, 안되는데, 기분 좋아서 나……. 안돼, 여기 청소하지 않으면……
掃除なんて別にいいよ。このままにしておこう。	청소 같은 거 딱히 안해도 돼. 이대로 해 두자.
で、でもそれじゃ、うぅ……私のおしっこ、誰かに見られてしまうじゃない……	그, 그치만 그럼…… 내 오줌 누군가 봐 버리잖아……
それは、そうだけど……でも、その……いいの？	그건 그렇지만…… 그래도 그…… 괜찮아?
んっ、わかったわ……。私もそうだけど、ご主人様だって変態よ。それじゃ、続きは場所を変えてから……しましょう？	응, 알았어……. 나도 그렇지만 주인님도 변태야. 그럼 다음은 장소를 바꾸고 나서…… 하자?
……ご主人様、その……私、もう抑えられない……	…… 주인님, 그…… 나 이제 못 참겠어……
さっきからそわそわしている様子だったし、まさかとは思っていたけど……	아까부터 안절부절 못하는 것 같던데, 설마라고는 생각하지만……
そんな事言わないでほしい……。ご主人様が目の前にいるのに、我慢なんてできるわけないじゃない……	그런 말은 안했으면 좋겠어……. 주인님이 눈앞에 있는데 참을 수 있을리가 없잖아……
そうか。……じゃあ、ちゃんとおねだりできる？	그런가. …… 그럼 제대로 졸라댈 수 있겠어?
お、おねだり……？　ご主人様、おねだりすれば、ここでキスさせてくれる……？	조, 조르라고……? 주인님, 졸라대면 여기서 키스해 주는 거야……?
言えるわ、ご主人様……。んんぅ、キスさせて、お願い……！　私は、待ちきれなくてキスしたくなってるいやらしいメイドだけど……	말할게, 주인님……. 키스해줘, 부탁해……! 난 참지 못하고 키스 하고 싶어하는 음란한 메이드니까……
ご主人様の事、大好きだから……せめて、キスだけでもさせて、ご主人様……	주인님을 정말 좋아하니까…… 적어도 키스라도 해줘, 주인님……
はい、よくできました。	네, 잘 말했습니다.
はぅ、んちゅ……ちゅぷぅ……好き、好きぃ、ご主人様……はぁ、んぢゅぅ……！	………… 좋아해, 좋아해, 주인님…… 하아……!
だってご主人様の、大好きだから……んぷ、ぢゅっ……ご主人様は、私の事好き……？　ちゅるぅ……じゅ、ぢゅぷぅ……	그거야 주인님을 정말 좋아하니까…… …… 주인님은 날 좋아해……?  ……
わかった、ちゅっ、んちゅぷぅ……私のキス、たくさん味わって、ちゅぷぅ……はぅ、ちゅぱっ……	알았어…… 내 키스, 잔뜩 맛 봐 …… ……
俺の唇にその先端が触れて、口内へと侵入してくる。	나의 입술에 그 끝이 닿아서, 입안으로 들어온다.
んぢゅぅ、じゅっ……れるぅ、んぷぅ……どう、ご主人様……？　ちゅるるぅ、んん、じゅぶぅ……！	…… …… 어때, 주인님……? ……!
ぢゅぷ、嬉しい、ご主人様……。私、ご主人様にもっとご奉仕がしたい、ご主人様に気持ち良くなってほしい、れるぅ、んちゅぷぅ……！	……기뻐, 주인님……. 나 주인님에게 좀 더 봉사하고 싶어. 주인님을 기분 좋게 해주고 싶어……!
それなら、早く場所を変えよう……。ここじゃ、続きがやりにくい。	그럼 빨리 장소를 바꾸자……. 여기서는 이 다음을 하기 힘들어.
私は別に、んちゅぅ……ここでしても、構わない、れろぉ、じゅっ……ちゅぷ、んぷぅ……	나는 딱히…… 여기서 해도 상관 없어…… ……
そう、わかったわ……じゅぷぅ、ちゅぅ……でも、もう少しだけキスさせて、んちゅ、好き、好きなの、ご主人様、大好きぃ……	그래, 알았어…… … 그치만 조금만 더 키스 해줘…… 좋아해, 좋아해, 주인님, 너무 좋아해……
ご、ご主人様……。その、ちょっといいかしら。	주, 주인님……. 그, 잠깐 괜찮을까.
そうじゃないの、体調は問題ないわ。……そうじゃなくて、ご主人様、ちょっと動かないで。	그런 건 아냐, 컨디션은 문제 없어. …… 그게 아니라 주인님, 잠깐 움직이지 마.
その、口でしたいの……私、抑えられなくて……。ご奉仕させて……	그, 입으로 하고 싶어…… 나 못 참겠어……. 봉사하게 해줘……
はぅ、んちゅ……これが欲しかった、じゅぶぅ……ご主人様の大きいの、私の口で、れろぉ、ちゅ、じゅぷぅ……	…… 이걸 갖고 싶었어…… 주인님의 커다란 걸 내 입으로 ……
それが逆に欲情を誘う……卑猥な口使いで、俺のモノを責め立てていく。	그것이 반대로 욕정을 부르고…… 음란한 입 사용으로, 나의 것을 몰아세운다.
だって私、れろぉ、じゅるぅ……ご主人様の事、大好きだから、ちゅぱっ……早くご奉仕したくて、んぷ、ちゅぅ……じゅぶぶぅ……	왜냐면 나…… 주인님을 정말 좋아하니까…… 빨리 봉사하고 싶어서…………
ちゅるるぅ、んぅ……これでも私、我慢していたのよ、ちゅぷぅ……でも、ご主人様を前にしたら、はぅ、抑えきれなくて、んちゅぷ……	…… 이래보여도 나 참고 있었던 거야…… 그치만 주인님을 앞에 두면 참을 수가 없어서……
そうなんだ……。そこまで想われてるなんて、ご主人様冥利に尽きるな。	그렇구나……. 그렇게까지 생각해주다니, 주인님에겐 과분하네.
んちゅ、ちゅぅ……！　んぷ、苦いのが出てる……ご主人様、ちゅるぅ、気持ち良い……？　私の口、れろぉ、じゅるるぅ……	……씁쓸한 게 나오고 있어…… 주인님……기분 좋아……? 내 입……
あぁ、気持ち良いよ……	아, 기분 좋아……
ふふ、良かった、じゅぷぅ……私のお口、もっと味わって……たくさんするから、はぅ、んちゅ、じゅぶぶぅ……	후후, 다행이야, …… 내 입, 좀 더 즐겨…… 많이 해줄테니까……
れるぅ、んぢゅ、じゅぶぶ、ごひゅじんひゃま、んぐちゅぅ、いつでもだして、わたしのくちにぃ、れるれろぉ、んちゅぷぅ……！	……주인님…… 언제든지 싸줘…… 내 입에……!
あつくてこいせいえき、じゅぶぅ、たくさんほしい、ちゅる、ぢゅるるぅ！　ごひゅじんひゃまの、ぜんぶぅ！	뜨겁고 진한 정액…… 잔뜩 갖고 싶어……! 주이니메 전부!
あまりに激しい奉仕に、怒張した俺のペニスがビクビクと脈打ち始める。	너무나도 격렬한 봉사에, 부풀어 오른 나의 페니스가 움찔움찔 맥박치기 시작한다.
んじゅぅ、イキそう、ごひゅじんひゃま？　れろぉ、じゅっ、じゅぶぶぅ！　えんりょしないでいいから、すきなときにイって、ちゅるぅ、んじゅぷぅ！	……갈 것 같아, 주인님? ……참지말고 마음대로 가도 돼……!
うぅ、んぷぅ……！？　んん、ちゅるぅ、じゅぷ……あついのが、たくさんでてる、はぅん……すごい、こんなに……	………… 뜨거운 게 잔뜩 나와…… 대단해, 이렇게나……
こくこく、んぅ……んく、精液どろどろで、はぅう……駄目、零したらもったいない……こくっ……	…… 정액이 질척질척해…… 안돼, 흘리면 아까워…………
精液を嚥下して喉を鳴らすその姿は、とても卑猥だった。	목에서 정액을 삼키는 소리를 내는 그 모습은 매우 음란했다.
ちゅぷ……気持ち良かった、ご主人様？　私の口……	…… 기분 좋았어, 주인님? 내 입……
あぁ、すごく良かったよ。	아아, 엄청 좋았어.
ふふ、嬉しい……。ご主人様の精液も、とても美味しかったわ。今、お腹の中熱くなってる……	후후, 기뻐……. 주인님의 정액도 엄청 맛있었어. 지금 뱃속이 뜨거워지고 있어……
そんな風に言われたら……早く続きがしたくなるな。	그런 식으로 말하면…… 빨리 그 다음을 하고 싶어지네.
嬉しいわ、ご主人様。……それじゃ、早く移動しましょう。そうしたら、たくさんご奉仕するわ。	기뻐, 주인님. …… 그럼 빨리 이동하자. 그러면 잔뜩 봉사할게.
先ほどまで俺のペニスを咥えていた唇で笑顔を見せる。	방금 전까지 나의 페니스를 물고 있던 입술로 웃는다.
その想像に、思わず我慢できなくなりそうだったので、急いで場所を移す事にしたのだった。	그렇게 상상하자 참지 못할 것 같아서, 서둘러 장소를 옮기기로 한 것이었다.
私、我慢できない……。いやらしいって思われてもいい……ご主人様、お願いがあるの。	나 못 참겠어……. 음란하다고 생각해도 좋아…… 주인님, 부탁이 있어.
今ここで……キスしていい？　ご主人様に……	지금 여기서…… 키스 해도 돼? 주인님에게……
あぁ、構わないけど。	아아, 상관없는데.
はぅ、んちゅぷぅ……好き、ご主人様ぁ……ちゅるぅ、もっと早くこうしたかった、ちゅっ、たくさんたくさん、ご主人様と、んん……！	…… 좋아해, 주인님…… 좀 더 빨리 이렇게 하고 싶었어…… 많이, 많이, 주인님이랑……!
潤んだその瞳には、俺が映っていた。	촉촉한 그 눈동자에 내가 비치고 있었다.
うぅ、キスだけじゃ物足りない……。もっとご主人様が欲しい……深いところまで、ご主人様が……	……키스만으로는 부족해……. 좀 더 주인님을 원해…… 깊은 곳까지 주인님이……
それってどういう事？　はっきり言ってくれないと、きちんと伝わらないな。	그건 무슨 말이야? 확실히 말하지 않으면 제대로 모르겠네.
ご主人様のが欲しいのよ……私の中に、ご主人様の大きいの感じたい……。今この場所で、セックスがしたいの……！	주인님의 거기를 갖고 싶어…… 내 안으로 주인님의 커다란 걸 느끼고 싶어……. 지금 여기서 섹스하고 싶어……!
はぁあ、あぁ……ご主人様、んくぅ……これ、これが欲しかった……んん、うぅ……ご主人様、好きぃ……！	하아, 아아…… 주인님…… 이걸, 이걸 갖고 싶었어…… …… 주인님 좋아……!
お、奥まで太いのが届いて、ぁああっ、んん……もっと速くしても大丈夫だから、ご主人様……はぁはぁ、あぅうん……	아, 안쪽까지 굵은 것이 닿고 있어…… 좀 더 빠르게 해도 괜찮으니까, 주인님…… ……
はぅうう！？　あぁ、んくぅ、ご主人様ぁ！　太いの擦れてる、うぅ、私の中ぁ……はぅう、んん！	……주인님! 굵은 걸로 쑤셔지고 있어……내 안…… !
き、気持ち良い、はぅう、ご主人様の事、大好きだから私ぃ、んん！　はぁはぁ、もっとたくさん、ご主人様を感じたい、あぁ、んくぅん！	기, 기분 좋아……주인님을 정말 좋아하니까, 나……! ……좀 더 잔뜩 주인님을 느끼고 싶어……!
駄目、私もう我慢できなくなりそう……！　あぅう、ひぃいん！　はぁ、んく、頭の中真っ白になる、気持ち良過ぎて、抑えられない……！	안돼, 나 이제 못 참겠어……! ……머릿속 하얘져, 기분 너무 좋아, 못 참겠어……!
そもそもこの場所でここまでする気もなかったけど……俺は勢いに任せて、激しく奥まで掻き回す。	원래 여기서 이렇게까지 할 생각은 없었지만…… 나는 기세를 타고 격렬하게 안쪽까지 휘젓는다.
んぅう、ぁあああっ！　いやらしい声、抑えられないぃ、んんぅ、ご主人様、好きぃ、大好きぃ！　うぅ、気持ち良過ぎて、蕩けそう……！	……야한 목소리, 못 참겠어…… 주인님, 좋아, 너무 좋아! ……기분 너무 좋아, 녹을 것 같아……!
あぁ、んくぅ！　ご、ご主人様ぁ！　中ヒクヒクして、私ぃ！　イク、もうイクぅ、ご主人様、はぅうう、ぁああああああっ……！	……주, 주인님! 안이 움찔움찔해, 나 가! 가버려, 이제 가버려, 주인님, 아아아아아아앗……!
んんん～～～～っ……！　あぁ、ご主人様のがたくさん……んぅ、中どろどろになってる、あぁ、はぅん……	…… 아아, 주인님의 것이 잔뜩…… 안이 질척질척거리고 있어……
はぁ、んぅ……ええ、私は大丈夫よ、ご主人様……熱くて濃いの、いっぱい出してくれて嬉しい、あぅん……	하아…… 응, 나는 괜찮아, 주인님…… 뜨겁고 진한 걸 잔뜩 싸줘서 기뻐……
うぅ、もう待ちきれない……ご主人様……私、お願いがあるの……	……이제 더는 못 기다리겠어…… 주인님…… 나, 부탁이 있어……
お願い？　これから夜伽をするのに、一体なに？	부탁? 지금부터 밤시중을 할 건데 도대체 뭐야?
私の事、苛めてほしい……。ご主人様ので、たくさん……	날 괴롭혀주면 좋겠어……. 주인님의 거기로 잔뜩……
苛めてほしい？　……どうして、それをこの場で言うの？	괴롭혀 달라고? …… 왜 그걸 여기서 말하는 거야?
俺の股間を前にして座り、苛めてほしいという……それはつまり……	나의 사타구니를 앞에 두고 앉아서 괴롭혀주면 좋겠다…… 그것은 즉……
ご主人様の、逞しいモノで……私の口に、お仕置きしてほしくて……。お願い、ご主人様……	주인님의 씩씩한 물건으로…… 내 입에 벌을 줬으면 해서……. 부탁해, 주인님……
わざと焦らすように、俺は意地悪な質問をした。	일부러 애가 타도록, 나는 심술궂은 질문을 했다.
それは……だって私、こんな場所で欲しがるような、へ、変態だから……ちゃんとご主人様に躾けてもらわないと……	그건…… 왜냐면 난 이런데서 하고 싶어 하는 벼, 변태니까…… 제대로 주인님이 길들여주지 않으면……
……そうか。それなら仕方ないな。	…… 그런가. 그럼 어쩔 수 없네.
んぷ、うぅ……！　はぐぅ、ごひゅじんひゃまの、おっきい、んん、うくぅ……あぅ、のどおくまで、とどいてる……ぁああっ、んぐぷぅ……	…… 주이니메꺼 커다래……  목 안쪽까지 닿고 있어…… ……
んぐぅ！？　うぅ、んぷぅ、うぐ！　は、はげひい、んん、んぐぷぅ、ごひゅじんひゃまに、たくさんおしおきれてぇ、うう、はぐぅう……！	……겨, 격렬해!…… 주이니메게 잔뜩 쑤셔져서……
くちのなか、んぅ、ごひゅじんひゃまのでみたされて、はぐぅ、んぷ、あたまぼうっとうする……あぐぅ！　んぷ、ぉおご、んん～～っ……！	입 안이 주이니메 거스로 가득차서……머리가 멍해져……!
はぅ……そ、そんらことない、んぐ、んんぅ……ちゃんとわたしぃ、メイドとしてしつけられてる……うぐ、はぅうう……	…… 그, 그렇지 않아……제대로 나, 메이드로서 가르침 받고 있어…… ……
本当か？　それじゃ、確認する為にもっと激しくしないとな。	정말? 그럼 확인하기 위해서 좀 더 격렬하게 하지 않으면 안되겠네.
んん！？　んん～～～～っ！　んぐぷぅ、はぐ、うぇええ！　あぐぅ、ごひゅじんひゃまぁ、んぅうん、うぅ、わたし、わたしぃ！	……저, 주인님! 나, 나……
んぐ、ひぐぅう、おしおきされて、ドキドキしてる、はぅ、んんん～～っ！　いじめられて、こうふんしてる、へんたいメイドになってる、んぐぷぅ！！	……벌 받으면서 두근거리고 있어……! 괴롭혀져서 흥분하고 있어, 변태 메이드가 됐어……!!
ああ、その通りだな……！　ほら、仕上げだ、この変態メイド。その口の中にだしてやるから、きちんと飲み込め。	아아, 그 말 대로다……! 자, 마무리다, 이 변태 메이드. 그 입안에 싸줄테니까 제대로 삼켜라.
はぐ、んぷ、わ、わかった、んぐ、うぇえ、ひゅぐ、んぅううう！？　だ、だめ、もうなにもかんがえられなくなりそう、んん、んぐぷぅ！	……아, 알았어……!? 아, 안돼, 이제 아무 생각도 못하겠어……!
ご、ごひゅじんひゃまぁ、んぷぅ、んんん～～～っ！　はぐぅう、あ、あついぃ、んぐぷぅ……すごい、あついのがたくさんでてるぅ、うぇええ……！	주, 주인님……! 뜨, 뜨거워…… 대단해, 뜨거운 게 잔뜩 나왔어……!
んぐ、ごほごほっ……はぅ、けほ、うぅ……く、口の中、どろどろ……それに、こほっ……ご主人様の匂いで、頭がくらくらする……	 …… …… 이, 입 안이 질척질척해…… 그리고…… 주인님의 냄새로 머리가 어질어질해……
はぅ……あぁ、ご主人様ぁ……熱くて濃いのが、わたしの……んん、口の中にたくさん……んちゅ、はぅうん……	하아…… 아아, 주인님…… 뜨겁고 진한 게 내……  입 안에 잔뜩…… ……
言われなくてもわかっているだろうけど……せっかく出したんだ。全部飲み込むんだぞ。	말하지 않아도 알고 있겠지만…… 모처럼 싼 것이다. 전부 삼켜라.
ええ、もちろんよ……んぅ、こくこく……熱いのが、お腹の中まで、んく……こくっ、私、蕩けてしまいそう……	응, 물론…… …… 뜨거운 게 뱃속까지…… 나, 녹아 버릴 것 같아……
んちゅぅ、ありがとう、ご主人様……私みたいな変態メイドに、精液をたくさん注ぎ込んでくれて、あぁ、はぅう……	고마워, 주인님…… 나같은 변태 메이드에게 정액을 잔뜩 싸줘서……
ああ。……だけど、まだ終わりじゃないぞ。これからが本番だからな。	아아. …… 하지만 아직 끝이 아니다. 지금부터가 본방이니까.
わかってるわ、んぅ……私、もっともっと、ご主人様にご奉仕したい、あぁ、ちゅるぅ……	알고 있어…… 나 좀 더 좀 더 주인님에게 봉사하고 싶어……
それから、これからする夜伽に胸を高鳴らせるのだった。	그리고 지금부터 할 밤시중에 가슴이 쿵쾅대는 것이었다.
ねえ、ご主人様……。私、お願いしたい事があるのだけど……	저기, 주인님……. 나, 부탁하고 싶은 게 있는데……
お願いね……。それは、どんなお願いなのかな？	부탁이라……. 그건 어떤 부탁이려나?
今ここで、ご主人様が欲しい……。我慢できないの、ご主人様……！	지금 여기서 주인님을 원해……. 못 참겠어, 주인님……!
そ、そんな、ご主人様……意地悪言わないでほしい、ご主人様……。奥まで、太いの捻じ込んで……	그, 그런, 주인님…… 짓궂게 말하지 말아줘, 주인님……. 안쪽까지 굵은 걸로 쑤셔넣어……
んんん～～～～っ……！　あぐぅ、んく……ご主人様のが、私の中にぃ、んん、はぁはぁ、ぁあああっ！	………… 주인님의 거기가 내 안에……!
