$^(.+?)、何を……$	$1, 무엇을……
$^熱に浮かされたようにキスをする(.+?)の唇から、熱くぬめる舌先が伸びてきた。$	열에 들뜬 듯 키스를 하는 $1의 입술로부터, 뜨겁고 축축한 혀끝이 뻗어왔다.
$^情熱的だね、(.+?)、んん……。俺も、(.+?)の事が大好きだよ。$	정열적이네, $1……. 나도 $2를 너무 좋아해.
$^せっかく(.+?)とするんだ、心ゆくまで堪能したいんだよ。$	모처럼 $1랑 하잖아. 마음껏 즐기고 싶어.
$^(.+?)の激しいキスに、思わず下腹部に熱が籠る。$	$1의 격렬한 키스에, 무심코 하복부에 열이 오른다.
$^それから俺と(.+?)は顔を離して、そそくさと移動を始めたのだった。$	그리고 나와 $1는 얼굴을 떼어 놓고, 허둥지둥 움직이기 시작한 것이었다.
$^どうしたの、(.+?)。あれ、本当は今日、体調が悪いとかかな。夜伽はまた別の日にする？$	왜 그래, $1. 어라, 오늘은 몸이 불편한 걸까. 밤시중은 다른 날에 할래?
$^どうしたんだ、(.+?)。急に座って……$	무슨 일이야, $1. 갑자기 앉고……
$^(.+?)は言うが早いか、俺のペニスを露出させた。$	$1는 말하자마자, 나의 페니스를 노출시켰다.
$^熱っぽい行為とは裏腹に、(.+?)はいつも通りの淡々とした声色だ。$	뜨거운 행위와는 달리, $1는 언제나처럼 담담한 음색이다.
$^そんなに、俺の咥えたかったの、(.+?)。ずいぶん大胆じゃないか。$	그렇게 내 걸 물고 싶었던 거야, $1. 꽤나 대담하잖아.
$^(.+?)の舌が、俺のペニスを這っていく。$	$1의 혀가, 나의 페니스에 뻗어 온다.
$^ざらつく舌先の刺激を感じながら、(.+?)の口内の感触を味わう。$	까슬까슬한 혀끝의 자극을 느끼면서, $1의 입안의 감촉을 느낀다.
$^むしゃぶりつくように、(.+?)が俺のペニスを嬲る。$	달라붙듯이 $1는 나의 페니스를 만지작거린다.
$^(.+?)の言葉に流されるように、俺はその瞬間射精した。$	$1의 말에 떠밀리듯, 나는 그 순간 사정했다.
$^決壊したかのように、精液が(.+?)の口内へと吐き出されていく。$	무너지는 것 처럼, 정액이 $1의 입안으로 뿜어져 나간다.
$^熱っぽく射精を受け止める(.+?)。$	뜨겁게 사정을 받아들이는 $1.
$^俺はそれを見ながら精液を出し終えると、(.+?)の口からペニスを抜き取った。$	나는 그 것을 보면서, 정액을 쏟아내는 것을 끝내고 $1의 입으로부터 페니스를 빼냈다.
$^俺に言われるまでもなく、(.+?)は自主的に俺の精液を飲んでいた。$	내가 말할 것도 없이 $1는 스스로 나의 정액을 마시고 있었다.
$^お願い？　どんなお願いなの、(.+?)$	부탁? 어떤 부탁인데, $1
$^そう答えると、(.+?)は一秒たりとも待ちきれないとばかりに俺に顔を寄せた。$	그렇게 대답하자 $1는 1초라도 기다릴 수 없다는 듯이 나에게 얼굴을 갖다댔다.
$^(.+?)のやわらかく熱の宿った唇が触れる。$	$1의 부드럽게 열이 오른 입술이 닿는다.
$^熱っぽいキスの後、(.+?)が不意に顔を離す。$	뜨거운 키스를 하고나서 $1가 갑자기 얼굴을 떼어 놓는다.
$^……どうしたの、(.+?)。キスは、これで満足した？$	…… 왜 그래, $1. 키스는 이걸로 만족했어?
$^……よく言えたね、(.+?)。$	…… 잘 말했어, $1.
$^こんなところでお尻を突き出すだなんて、(.+?)はいやらしいメイドだな。……それじゃ挿れるよ。$	이런데서 엉덩이를 내밀다니, $1는 음란한 메이드네. …… 그럼 넣을게.
$^(.+?)のおねだり通り、俺は彼女の秘部にペニスを突き入れた。$	$1가 조르는 대로 나는 그녀의 음부에 페니스를 밀어 넣었다.
$^亀頭から侵入していき、カリが擦れて(.+?)の内部に潜り込んでいく。$	귀두로부터 침입해서 클리토리스를 비비며 $1의 안으로 들어 간다.
$^(.+?)のいやらしい声を聞きながら、突き入れる速度を上げる事にした。$	$1의 음란한 목소리를 들으면서, 쑤시는 속도를 올리기로 했다.
$^……気持ち良い、(.+?)？$	……기분 좋아, $1?
$^嬌声を揚げる(.+?)の膣内がぎゅっと締まる。$	간드러지는 소리를 내며 $1의 질내가 꽉 조여진다.
$^ペニスを離したくないとばかりにきつく締まる(.+?)の膣内に、俺の限界が近づく。$	페니스와 떨어지고 싶지 않다는 듯이 꽉 조여오는 $1의 질내에, 나의 한계가 가까워진다.
$^イク時は、ちゃんとイクって言って、(.+?)。$	갈 때는 꼭 간다고 해, $1.
$^(.+?)の膣内が収縮して、肉襞が俺のペニスを締め上げる。$	$1의 질내가 수축하고, 질벽이 나의 페니스를 조인다.
$^そのまま俺は、(.+?)の中で思い切り射精をした。$	그대로 나는 $1의 안에다가 마음껏 사정했다.
$^思わず中で出しちゃったけど……(.+?)、大丈夫？$	모르고 안에다 해버렸는데……$1, 괜찮아?
$^(.+?)の蕩けるような声に、俺のモノが再び大きくなる感覚を覚えるのだった。$	$1의 녹을 것 같은 목소리에, 나의 물건이 다시 커지는 감각을 기억에 남긴다.
$^(.+?)の様子に、何をお願いされるのか多少想像がつきながらも、あえてそう答えた。$	$1의 모습을 보니 무엇을 부탁하는지 다소 상상이 되면서도 굳이 그렇게 대답했다.
$^(.+?)は質問に答えず、俺の前に座った。$	$1는 질문에 대답하지 않고 내 앞에 앉았다.
$^お仕置き？　(.+?)は、何も悪い事なんかしてないだろ。どうしてお仕置きをする必要があるんだ？$	벌? $1는 나쁜 일은 아무것도 안했잖아. 왜 벌을 받을 필요가 있어?
$^そう言いながら、俺は(.+?)の頭を押さえてペニスを突き入れた。$	그렇게 말하면서, 나는 $1의 머리를 잡고 페니스를 쑤셔 넣었다.
$^これじゃ物足りないだろ、(.+?)。もっと早くしようか……$	이걸로는 부족하잖아, $1. 좀 더 빨리 할까……
$^なんだか嬉しそうだな、(.+?)。お仕置きされてるっていうのに……まったく、その自覚がないんじゃないか？$	왠지 기뻐 보이네, $1. 벌 받고 있는 건데…… 전혀 자각이 없는 거 아냐?
$^そう告げると、俺は一息で(.+?)の喉奥深くまで突き入れた。$	그렇게 말하고 나는 단숨에 $1의 목 안 깊숙이 쑤셔 넣었다.
$^口内を掻き回されて興奮している(.+?)の顔を見ながら、俺は自分の限界が近い事を感じていた。$	입 안을 휘저어져서 흥분하고 있는 $1의 얼굴을 보면서, 나는 자신의 한계가 가까워졌다는 것을 느끼고 있었다.
$^本人も望んでいる事だし、俺は激しい動きを止めずに、(.+?)の喉奥まで硬くなっているペニスをねじ込んだ。$	본인도 바라는 일이고, 나는 격렬한 움직임을 멈추지 않고 $1의 목 안까지 딱딱한 페니스를 쑤셔넣었다.
$^(.+?)の喉奥で、思いきり精液をぶちまけた。$	$1의 목 안에 마음껏 정액을 뿜어놓았다.
$^一通り出し終えると、俺は(.+?)の口からペニスを抜き取る。$	적당하게 싸는 것을 끝내고 나는 $1의 입으로부터 페니스를 빼낸다.
$^すっかりメイドとして仕込まれている(.+?)の姿を見て、俺は満足する。$	완전히 메이드로서 조교되고 있는 $1의 모습을 보고 나는 만족한다.
$^わずかに震えながら、どこか熱に浮かされた様子で(.+?)俺を見る。$	조금 떨면서 어딘가 열에 들뜬 모습으로 $1는 나를 본다.
$^そう言うと、(.+?)は俺の返事を待たずに壁に手をつけ、お尻を突き出した。$	그렇게 말하자 $1는 나의 대답을 기다리지 않고 벽에 손을 대고 엉덩이를 내밀었다.
$^俺はまだ、(.+?)にしてあげるなんて一言も言っていないんだけど。$	나는 아직 $1에게 해준다고 한마디도 말하지 않았는데.
$^……仕方ないな。(.+?)がそんなに苛めてほしいなら、してあげるよ。$	…… 어쩔 수 없네. $1가 그렇게 괴롭혀주기를 원한다면, 해 줄게.
$^俺は(.+?)のお尻周りに手を当てると、その秘部に先端を当てる。$	나는 $1의 엉덩이 근처에 손을 대고, 그 음부에 내 끝부분을 갖다댄다.
$^そのまま、ろくに前戯もしていない(.+?)の中に、俺のペニスを押し込んだ。$	그대로, 제대로 애무도 하지 않고 $1의 안에 페니스를 밀어넣었다.
$^(.+?)の哀願めいた言葉に、より激しく動こうとして、俺は別の考えが思いついた。$	$1의 애원하는 듯한 말에 더 격렬하게 움직이면서, 나는 어떤 생각이 떠올랐다.
$^俺はおもむろに片手を上げると、(.+?)のお尻を叩く。$	나는 천천히 한 손을 들고, $1의 엉덩이를 때린다.
$^(.+?)の嬌声を聞きながら、お尻を叩き、俺はより激しく腰を動かす。$	$1의 간드러지는 목소리를 들으면서 엉덩이를 때리고, 나는 더 격렬하게 허리를 움직인다.
$^激しく掻き回しながら、(.+?)のお尻叩く。$	격렬하게 휘저으면서 $1의 엉덩이를 때린다.
$^ペニスの先端が(.+?)の中を擦り上げて、奥を突く度に、(.+?)からは熱い吐息が漏れる。$	페니스의 끝부분이 $1의 안쪽을 찌를 때마다, $2에게서 뜨거운 한숨이 새어나온다.
$^こんなところで躾けられて、興奮してるのか？　とんだ変態メイドだな、(.+?)。$	이런데서 길들여져서 흥분하고 있는 거냐? 말도 안되는 변태 메이드구나, $1.
$^(.+?)の中が震えた瞬間、俺はペニスを思いきり奥まで突き入れた。$	$1의 안쪽이 떨리는 순간, 나는 마음껏 페니스를 깊숙이 밀어넣었다.
$^俺の射精と共に、(.+?)の膣内が収縮して俺のペニスを締め付ける。$	나의 사정과 동시에, $1의 질내가 수축해서 나의 페니스를 꽉 조인다.
$^この後の夜伽を考えて、これからどうやって(.+?)を躾けようかと考えていたのだった。$	이 뒤의 밤시중을 생각해서, 지금부터 어떻게 $1를 길들일까 생각하고 있었던 것이다.
$^え、あ……(.+?)！？　な、何を？$	에, 아…… $1!? 무, 무슨?
$^不意の事に驚いたが、(.+?)の一生懸命な様子に気分も高まってくる。$	불의의 일에 놀랐지만, $1의 열심인 모습에 기분이 고양된다.
$^ああ、いいよ……(.+?)。そのまま続けて……。$	아, 좋아…… $1. 그대로 계속해…….
$^(.+?)にしては珍しく積極的だったね……。$	$1으로서는 드물게 적극적이었네…….
$^いや、最初はちょっと驚いたけど……気持ちよかったよ。ありがとう、(.+?)。$	아니, 처음은 조금 놀랐지만…… 기분 좋았어요. 고마워요, $1.
$^(.+?)の声が聞こえたかと思うと、下半身からくちゅくちゅとした音と共に、快感がせりあがってくる。$	$1의 목소리가 들린 것 같다고 생각하자, 하반신으로부터 질척질척한 소리와 함께, 쾌감이 치밀어 온다.
$^え、(.+?)？　そ、その……どうした、の？　くうっ！？$	엑, $1? 그, 그……뭐 하는 거, 야? 크읏!?
$^(.+?)は嬉しそうに俺の吐きだした精液を飲み下した。$	$1는 기쁜듯이 내가 토해낸 정액을 삼켰다.
$^うん、もちろん。だって(.+?)があんなにしてくれたから……。って、あ……。$	응, 물론. 왜냐하면 $1가 그렇게 해 주었으니까……. 라고, 아…….
$^さっきまでの(.+?)の姿を思い浮かべてしまい、一度は力を失ったペニスがまた反応してしまう。$	조금 전까지의 $1의 모습을 떠올려 버려, 한 번은 힘을 잃은 페니스가 또 반응해 버린다.
$^いや、そんなつもりじゃなかったんだけど……。でも、そうだな……。もう一度、いいかな。(.+?)？$	아니, 그럴 작정이 아니었지만……. 그렇지만, 그렇네……. 한번 더, 괜찮을까. $1?
$^そうして朝から俺は、(.+?)の奉仕に受け続けるのだった。$	그렇게 해서 아침부터 나는, $1의 봉사를 계속 받는 것이었다.
$^ああ、そのつもりだよ……(.+?)はお酒を飲むと、大胆になるね。$	아, 그럴 생각이야…… $1는 술을 마시면, 대담하게 되는군.
$^(.+?)の可愛らしい声に、俺も機嫌が良くなってしまう。$	$1의 사랑스러운 소리에, 나도 기분이 좋아져 버린다.
$^俺は(.+?)の身体を弄ぶために、体勢を変える。$	나는 $1의 신체를 희롱하기 위해서, 몸의 자세를 바꾼다.
$^このまま(.+?)がイっちゃったら、満足しちゃうんじゃないかな？$	이대로 $1가 가 버리면, 만족해 버리는 거 아닐까?
$^俺は問いかけると同時に、奥に指を突きいれ、(.+?)の膣内を掻き回す。$	나는 물어 보는 것과 동시에, 안쪽에 손가락을 찔러 넣어 $1의 질내를 휘젓는다.
$^要望に答えて、俺は(.+?)の膣内の弱い部分を、擦るように嬲る。$	요구에 응답하여, 나는 $1의 질내의 약한 부분을, 문지르듯 괴롭혔다.
$^(.+?)の汗の匂いと、愛液の匂いが一層強くなっていく。$	$1의 땀의 냄새와 애액의 냄새가 한층 강하게 되어간다.
$^絶頂を迎えた(.+?)は、余韻に浸りながら俺に甘えてくる。$	절정을 맞이한 $1는, 여운에 잠기면서 나에게 응석부려 온다.
$^……(.+?)は、エッチなメイドだね……でも、俺もそんな(.+?)が好きだよ。$	……$1는 야한 메이드네…… 그래도 나도 그런 $2를 좋아해.
$^(.+?)を喜ばせるため、俺は甘く囁く。$	$1를 기쁘게 하기 위해, 나는 달콤하게 속삭인다.
$^待ちきれない、といった表情で、(.+?)は俺に囁くのであった。$	기다릴 수 없어, 라고 하는 표정으로, $1는 나에게 속삭였다.
$^(.+?)はむっとした表情のまま……俺の前に膝立ちになる。$	$1는 부루퉁한 표정인 채로……내 앞에 무릎을 꿇었다.
$^(.+?)は俺に想いを伝えて、一際激しくペニスを口内で転がし始める。$	$1는 나에게 마음을 전하고, 한층 더 격렬하게 페니스를 입안에서 굴리기 시작했다.
$^(.+?)は俺に全てを捧げるように、熱心にペニスに奉仕をしてくれる。$	$1는 나에게 모두를 바치듯이, 열심히 페니스에 봉사를 해 준다.
$^(.+?)の熱心なフェラに、俺も一気に快楽を与えられ、すぐに射精の予感を感じてしまう。$	$1의 열심인 펠라에, 나도 단번에 쾌락이 주어져 곧바로 사정의 예감을 느껴 버렸다.
$^俺の予想を超えて、(.+?)は濃厚に舌でペニスを弄んでくる。$	나의 예상을 뛰어넘어, $1는 농후하게 혀로 페니스를 희롱해 온다.
$^射精する……というよりも、射精させられるように、俺は精を(.+?)の口内深くに放つ。$	사정한다……라고 하는 것보다도, 사정 당하듯이, 나는 정액을 $1의 입안 깊이 내보냈다.
$^(.+?)は俺の精液を口の中で転がし、味わっている。$	$1는 나의 정액을 입안에서 굴리면서, 맛을 보고 있다.
$^(.+?)に全部されちゃったな……$	$1에 전부 되어 버렸구나……
$^酔いに任せて、(.+?)は淫靡な台詞を言ってくれる。$	취기에 맡겨, $1는 음란한 대사를 말해 준다.
$^断れるはずもなく、俺は(.+?)と唇を触れ合わせる。$	거절할 수 있을 리도 없고, 나는 $1와 입술을 만나게 했다.
$^甘えん坊だね、(.+?)は。$	응석꾸러기구나, $1는.
$^可愛いことを言う(.+?)へ、優しくキスを続ける。$	사랑스러운 말을 하는 $1에, 상냥하게 키스를 계속한다.
$^(.+?)はもじもじと脚を擦り合わせて、もう発情しているようだった。$	$1는 머뭇머뭇거리며 다리를 문지르고 있는 것으로 보아, 이미 발정하고 있는 것 같았다.
$^そう聞くと、(.+?)は少し目を輝かせて、身体ごと後ろを向く。$	그렇게 묻자, $1는 조금 눈을 빛내더니, 몸을 돌려 뒤를 향했다.
$^俺はもう硬くなっていたペニスを、(.+?)の秘部へと押し込む。$	나는 벌써 딱딱해지고 있던 페니스를, $1의 비부로 밀어넣는다.
$^(.+?)の腰が跳ね上がると同時に、膣内が強く締めつけられる。$	$1의 허리가 튀는 것과 동시에, 질내가 강하게 조여진다.
$^(.+?)の膣内は、ペニスから全て搾りとるように収縮する。$	$1의 질내는, 페니스로부터 모두 눌러 짜내려는듯이 수축한다.
$^……満足した？　(.+?)。$	……만족했어? $1.
$^遠慮がちに可愛らしく首を傾ける(.+?)。$	조심스레 사랑스럽게 목을 기울이는 $1.
$^(.+?)は俺の言葉に従って、秘部に指を伸ばす。$	$1는 나의 말에 따라, 비부에 손가락을 편다.
$^好きにすれば？　(.+?)がしたいようにするといいよ。$	마음대로 하면? $1가 원하는 대로 하면 좋아.
$^俺の許可が出た事に、(.+?)は瞳を輝かせる。$	내 허가가 나온 것에 대해, $1는 눈동자를 빛냈다.
$^そう言って、(.+?)は自らクリトリスをつまみ、オナニーをする。$	그렇게 말하고, $1는 스스로 클리토리스를 잡더니, 자위를 했다.
$^(.+?)って、そういう風にいつもしてるの？$	$1는, 그런 식으로 언제나 해?
$^(.+?)は愛液をだくだくと垂らしながら、クリトリスを捻り、絶頂する。$	$1는 애액을 줄줄 늘어뜨리면서, 클리토리스를 비틀어, 절정한다.
$^(.+?)、そんなの見せられたらさ、我慢できるはず無いだろう？$	$1, 그런 것 보여지면, 참을 수 있을 리가 없잖아?
$^……しょうがないな、(.+?)は。$	……어쩔 수 없네, $1는.
$^俺はわざと変態的な言葉を使い、(.+?)を煽っていく。$	나는 일부러 변태적인 말을 사용해, $1를 부추겨 간다.
$^ご主人様を一人にして、(.+?)だけトイレに行ってくるんだ……それはよくないな。$	주인님을 혼자 두고, $1만 화장실에 갔다온다……그건 좋지 않은데.
$^俺のそんな言葉に、(.+?)は頬を真っ赤に染めてしまう。$	나의 그런 말에, $1는 뺨을 새빨갛게 물들여 버린다.
$^(.+?)は俺の言葉に、頬を染めて頷いてしまう。$	$1는 나의 말에, 뺨을 붉혀 수긍해 버린다.
$^(.+?)の秘部はひくひくして……ほんの少し、濡れていた。それが滲んだ尿なのか愛液なのかは分からなかった。$	$1의 비부는 실룩실룩해서……아주 조금, 젖고 있었다. 그것이 배인 오줌인지 애액인지는 몰랐다.
$^(.+?)の尿の匂いと、生々しい溜まりが地面に出来ている。$	$1의 오줌의 냄새와 생생한 굄이 지면에 나와 있었다.
$^(.+?)は頬を緩くして、羞恥の極みに悦びを覚えているようだった。$	$1는 뺨을 느슨하게 해, 수치의 극한에 기쁨을 느끼고 있는 것 같았다.
$^積極的な(.+?)に答える為に、俺は舌を少し(.+?)の奥に潜り込ませる。$	적극적인 $1에게 답하기 위해서, 나는 혀를 조금 $2의 안쪽으로 기어들게 한다.
$^(.+?)は俺が積極的に舌を使うと、それ以上に答えるように舌を動かしてくる。$	$1는 내가 적극적으로 혀를 사용하면, 그 이상으로 대답하듯이 혀를 움직여 온다.
$^呆けたような(.+?)。$	멍해지는 것 같은 $1.
$^確かにここで始めてしまいそうなぐらい、(.+?)は昂ぶっていた。$	확실히 여기서 시작해버릴 정도로, $1는 고조되어 있었다.
$^大人しい(.+?)の性格から考えて、かなり大胆な行為だといえるだろう。$	얌전한 $1의 성격을 생각하면, 꽤나 대담한 행위라고 할 수 있겠다.
$^濃厚な奉仕に、すぐに先走りが零れる。(.+?)は躊躇い無くそれを飲み下す。$	농후한 봉사에, 곧바로 앞질러 흘러넘친다. $1는 주저없이 그것을 삼켰다.
$^ちょっと異常な情景と……熱心で盲目的な(.+?)のフェラ。$	조금 이상한 정경과……열정적이고 맹목적인 $1의 펠라.
$^ペニスはすぐに脈打って、(.+?)の口内に精液を流し込んでしまう。$	페니스는 곧바로 맥박쳐, $1의 입안에 정액을 흘려 버렸다.
$^俺は余裕を持ってそう答えたけれど、(.+?)の妖艶な笑みに少し押されていた。$	나는 여유를 가지고 그렇게 대답했지만, $1의 요염한 미소에 조금 밀리고 있었다.
$^部屋に向かおうとして、(.+?)がかなり甘えた声を出す。$	방으로 향하려 하자, $1가 꽤 응석부리는 소리를 낸다.
$^抗えるはずも無く、俺は少しだけ周囲を気にして(.+?)と唇を重ねる。$	저항할 수도 없고, 나는 약간 주위를 신경쓰고 $1와 입술을 거듭한다.
$^(.+?)は積極的に唇を動かしてくる。$	$1는 적극적으로 입술을 움직여 온다.
$^けれど、(.+?)はすぐに口を離す。$	하지만, $1는 곧바로 입을 떼어 놓는다.
$^もじもじと身じろぎして、(.+?)は身体を震わせる。$	머뭇머뭇 움찔하며, $1는 몸을 떤다
$^できるだけ優しく声をかけると、(.+?)は少しだけ考える素振りを見せ、体勢を変える。$	가능한 한 상냥하게 얘기하자, $1는 약간 생각하는 기색을 보이더니 몸의 자세를 바꾼다.
$^(.+?)のずるい言い方に、俺は意地悪に答える。$	$1의 능글맞은 말투에, 나는 심술궂게 대답한다.
$^しばらくすると、(.+?)は顔を真っ赤にして、淫らな声を漏らす。$	잠시 후에, $1는 얼굴을 새빨갛게 하고, 추잡한 소리를 낸다.
$^ご褒美、といった感じで(.+?)にぐっと挿入する。$	포상, 이라고 하는 느낌으로 $1에 바짝 삽입한다.
$^(.+?)の言う通り、抽送を始めたばかりにしては、明らかにしとどにアソコは濡れている。$	$1가 말하는 대로, 추송을 시작한 탓인지, 확실히 흠뻑하니 자지가 젖고 있었다.
$^……けれど、(.+?)の反応はお仕置きというよりも――$	……하지만, $1의 반응은 징계라고 하기에는--
$^……しょうがないな、(.+?)は。お仕置きは部屋にいってからしてあげるね。$	……어쩔 수 없다, $1는. 징계는 방에 가고 나서 해 줘야지.
$^俺の射精の予感と同時に、(.+?)の膣内がきゅっと締まっていく。$	나의 사정의 예감과 동시에, $1의 질내가 꽉 죄여 간다.
$^(.+?)も絶頂が近いのだろう。$	$1도 절정이 가깝겠지.
$^(.+?)の激しい絶頂と同時に、俺もありったけの精を(.+?)の膣内に吐き出す。$	$1의 격렬한 절정과 동시에, 나도 최대한의 정액을 $2의 질내에 뿜어낸다.
$^(.+?)は恍惚の表情を浮かべながら、生々しい音を立てながら精液を味わう。$	$1는 황홀의 표정을 띄우면서, 생생한 소리를 내면서 정액을 맛본다.
$^……(.+?)は、本当にエッチなメイドだね。$	…… $1는, 정말로 음란한 메이드구나.
$^可愛らしく甘える(.+?)に、俺は主導権を握られてしまいそうな……そんな甘い感覚を味わっていた。$	사랑스럽게 응석부리는 $1에, 나는 주도권을 잡아져 버릴 것 같은……그런 달콤한 감각을 맛보고 있었다.
$^(.+?)はそういって、俺の許可を取らずに……すぐに、俺の前に膝立ちになる。$	$1는 그렇게 말하고선, 내 허락 없이……곧바로, 나의 앞에 무릎을 꿇었다.
$^どうして待てないのかな、(.+?)は。$	어째서 기다릴 수 없는 것일까, $1는.
$^(.+?)が苛めてほしい、そう言ったので、俺はちょっとだけ強い口調で(.+?)を詰った。$	$1가 괴롭혀줬으면 좋겠다고 말했으므로, 나는 조금 강한 어조로 $2를 비난했다.
$^(.+?)の要望に俺は頷き答える事にする。$	$1가 바라는 것을 나는 수긍하기로 했다.
$^本当に世話の焼けるメイドだよね、(.+?)って……俺にここまでサービスさせるなんて。$	정말 남에게 폐를 끼치는 메이드구나, $1는……나에게 여기까지 서비스를 시키다니.
$^(.+?)の言った通りに、俺は腰の動きを速める。$	$1의 말한 대로, 나는 허리의 움직임을 빠르게 한다.
$^(.+?)って、いじめられるのが好きなんだ？$	$1는, 괴롭힘을 당하는 것을 좋아해?
$^そんな(.+?)の言葉に答える為に、俺は(.+?)の喉奥までペニスを突きこんだ。$	그런 $1의 말에 답하기 위해, 나는 $2의 목 안까지 페니스를 쑤셔넣었다.
$^俺は(.+?)の頭を痛いぐらいにぎゅっと掴み、喉奥に全て吐き出す為に腰に力を入れる。$	나는 $1의 머리를 아플 정도로 꽉 잡아, 목구멍에 모두 토해내기 위해 허리에 힘을 주었다.
$^わざと冷たく接すると、(.+?)は身体を身震いさせて微笑んだ。$	일부러 차갑게 대하자, $1는 몸을 떨며 미소지었다.
$^従順な(.+?)の姿を見て、俺は心が満たされていくのを感じた。$	순종적인 $1의 모습을 보니, 나는 마음이 채워져 가는 것을 느꼈다.
$^……どうしたの、(.+?)。$	……왜, $1.
$^(.+?)は潤んだ瞳で、俺を見つめてくる。$	$1는 물기를 띤 눈동자로, 나를 바라보았다.
$^(.+?)は何も言わずに、俺に尻を突き出してくる。$	$1는 아무것도 말하지 않고, 나에게 엉덩이를 쑥 내밀어 온다.
$^淫靡に笑う(.+?)。$	음란하게 웃는 $1.
$^俺は吸い込まれるように、(.+?)の濡れていない秘部にペニスを突き入れる。$	나는 빨려 들여가듯이, $1의 젖지 않은 비부에 페니스를 찔러 넣는다.
$^確かに、(.+?)のお尻を叩くと、きゅっと膣内が収縮し、俺に快感を与えてくれる。$	확실히, $1의 엉덩이를 두드리자, 꽉 질내가 수축해, 나에게 쾌감을 준다.
$^俺はそう言って、(.+?)の尻を激しく突きながら思い切り叩く。$	나는 그러면서, $1의 엉덩이를 격렬하게 찌르면서 마음껏 두드린다.
$^俺は(.+?)の締め付けによって滾っていたペニスに力を込め、勢い良く膣内に射精する。$	나는 $1의 억압에 의해 끓고 있던 페니스에 힘을 집중해 기세 좋게 질내에 사정한다.
$^(.+?)は荒い息を吐きながら、うっとりとした表情を浮かべる。$	$1는 난폭한 숨을 내쉬면서, 넑을 잃은 표정을 띄운다.
$^……特別だよ、(.+?)。$	……특별해, $1.
$^そこなしの情欲を見せてくれる(.+?)。$	바닥이 없는 정욕을 보여 주는 $1.
$^(.+?)、な、なにをしてるの……？$	$1, , 무엇을 해……?
$^股間を見やれば俺は下半身を露出され(.+?)にいいように弄られていた。$	사타구니를 바라보면 나는 하반신이 노출되고 $1에 좋은 것 같게 만지작거려지고 있었다.
$^嬉しいよ、(.+?)。$	기뻐, $1.
$^(.+?)みたいな可愛い女の子にご奉仕してもらって無表情でいられる男はいないよ。$	$1같은 사랑스러운 여자 아이에게 봉사받아 무표정해 있을 수 있는 남자는 없어.
$^うぅ……あぁ、気持ちいいよ(.+?)。$	……아, 기분이 좋아 $1.
$^ん～、(.+?)？$	응∼, $1?
$^寝ぼけ眼で下半身を見やると(.+?)が俺のペニスを咥え熱心に奉仕していた。$	멍청한 눈으로 하반신을 바라보면(자) $1가 나의 페니스를 질네 열심히 봉사하고 있었다.
$^どうやら、最近(.+?)の中で朝フェラで俺を起こすのが習慣になってきているらしい。$	아무래도, 최근 $1중(안)에서 아침 페라로 나를 일으키는 것이 습관이 되고 있는 것 같다.
$^ここのところ起きると、毎朝(.+?)が俺のペニスを咥えているのだ。$	요즘 일어나면(자), 매일 아침 $1가 나의 페니스를 질네라고 있다.
$^それは……(.+?)の奉仕が上手だからだよ。$	그것은…… $1의 봉사가 능숙하기 때문이다.
$^(.+?)、なんだか怖いよ。それに、この時間が永遠に続くなんて生殺しもいいところだよ。$	$1, 어쩐지 무서워. 게다가, 이 시간이 영원히 계속되다는 반죽임도 좋은 곳이야.
$^すると、(.+?)は一瞬だけきょとんとし意味を理解したのか、その顔をほころばせる。$	그러자(면), $1는 일순간만 멍청히 해 의미를 이해했는지, 그 얼굴을 피기 시작하게 한다.
$^(.+?)……もうっ！$	$1……이제(벌써)!
$^(.+?)、でるよっ！$	$1, 나온다!
$^しかし、(.+?)はイヤな顔ひとつせず、俺の精液を飲み干していってくれる。$	그러나, $1는 싫은 얼굴 하나 하지 않고, 나의 정액을 다 마셔 가 준다.
$^(.+?)凄く気持ちよかったよ。$	$1굉장히 기분 좋았어요.
$^積極的な(.+?)に応える為に、俺は舌を少し(.+?)の奥に潜り込ませる。$	적극적인 $1에게 답하기 위해, 나는 혀를 $2의 안쪽에 좀더 들어가게 한다.
$^(.+?)は俺が積極的に舌を使うと、それ以上に舌を動かしてくる。$	$1는 내가 적극적으로 혀를 사용하면, 그 이상으로 혀를 움직여 온다.
$^俺に対しては病的なまでに積極的な(.+?)らしく、扇情的に舌を這わせ、甘い吐息を零していた。$	나에 대해서는 병적일 정도로 적극적인 $1답게, 선정적으로 혀를 뻗고 달콤한 한숨을 흘리고 있었다.
$^(.+?)の要望に俺は頷き応える事にする。$	$1의 요구에 나는 고개를 끄덕이기로 한다.
$^わざと冷たく接すると、(.+?)は身震いさせて微笑んだ。$	일부러 차갑게 대하자, $1는 몸을 떨며 좋아한다.
$^要望に応えて、俺は(.+?)の膣内の弱い部分を、擦るように嬲る。$	요구에 답해서, 나는 $1의 질내의 약한 부분을 문지르며 괴롭힌다.
$^(.+?)、すっごくよかったよ$	$1, 대단히 좋았어.
$^ん……(.+?)……？$	응……$1……?
$^積極的な(.+?)に答える為に、俺は舌を少し\1の奥に潜り込ませる。$	적극적인 $1에 대답하기 위해, 나는 혀를 조금 $1의 안쪽에 기어들어가게 했다.
