いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
マットとか椅子とか、いやらしいけど……気持ちよくなれるから好き。ご主人様も、ご奉仕してほしかったらそう言ってね？	매트라든지 의자라든지, 야하지만…… 기분 좋게 될 수 있으니까 좋아. 주인님도 봉사받고 싶으면 그렇게 말해?
アタシ、その……ご主人様にご奉仕するの、好きなの、ねぇ、何をして欲しい？　お口でも、なんでも……何でもしてあげる……	나, 그…… 주인님에게 봉사하는 걸 좋아해. 저기, 뭘 해줬으면 좋겠어? 입이라든지 뭐든지…… 뭐든 해 줄게……
その……ワガママかもしれないんだけど……アタシ、ご奉仕したくなってるから……ねぇ、ご主人様……下半身のお世話、させて……？	그…… 제멋대로일지도 모르지만…… 나 봉사하고 싶어졌으니까…… 저기, 주인님…… 하반신에 신세 좀 질게……?
ふふ、お風呂だし、いっぱい出して大丈夫……っていうか、アタシがご奉仕するんだから……いっぱい出してくれないと、だめなんだから……	후후, 욕실이고, 잔뜩 싸도 괜찮아…… 라고 할까, 내가 봉사하는 거니까…… 잔뜩 싸주지 않으면 안되니까……
俺達は二人でバーに向かう事にした。	우리들은 둘이서 바에 향하기로 했다.
……ご主人様がそう言うのなら、構わないけど……。ステージで夜伽……	…… 주인님이 그렇게 말한다면 상관없지만……. 스테이지에서 밤시중……
……わかったわ、ご主人様の部屋ね。それじゃ、行きましょうか。	…… 알았어, 주인님의 방이네. 그럼 갈까.
プレイルームね。夜伽をするには相応しい場所よね……わかったわ、ご主人様。	플레이 룸이네. 밤시중을 하기에는 적당한 장소네…… 알았어, 주인님.
……プールでするのは構わないけど、人が来た時はどうするつもりなのかしら……	…… 수영장에서 하는 건 상관없는데, 누가 오면 어떡하려고……
ご主人様がしたいというなら……お風呂でするけど……少し、恥ずかしいわね……	주인님이 하고 싶다고 한다면…… 목욕탕에서 하겠지만…… 조금 부끄럽네……
できれば、その場所じゃない方が助かるけど……。私は、ただのメイドだから。……ご主人様の言う通り、ＳＭルームに行きましょう。	되도록이면 거긴 아니었으면 좋겠는데……. 난 그저 메이드니까. …… 주인님이 원하는 대로 SM룸에 가자.
わかった、けど……中庭よね？　誰が来るかもわからないけど……ご主人様がしたいっていうなら、止める事はできないわね、私には……	알았어. 그런데…… 안뜰이야? 누가 올지도 모르는데…… 주인님이 하고 싶다고 하면 말릴 수는 없네, 나는……
…………わかったわ。私の部屋でしたいのね、ご主人様は……。面白味のある場所じゃないから、期待はしないで。	………… 알았어. 내 방에서 하고싶은 거네, 주인님은……. 재밌는 장소는 아니니까 기대하지는 말아줘.
昔の雰囲気の部屋ね……。ご主人様はこういうのが好き？　……私は、変な場所じゃなければどこでもいいわ。	옛날 분위기의 방이네……. 주인님은 이런 걸 좋아해? …… 난 이상한 장소가 아니면 어디든지 좋아.
……ずいぶん贅沢な場所でするのね。夜伽をする事に変わりはないけど、少し気後れしてしまうわ……	…… 꽤나 사치스러운 곳에서 하네. 밤시중을 한다는 건 변함 없지만, 조금 기가 죽어버릴 거야……
…………正気なの？　……どうも本気みたいね……はぁ、ご奉仕だから仕方ないけど……できるだけ早く終わらせてほしいわ。	………… 제정신이야? …… 아무래도 진심인 것 같네…… 하아, 봉사니까 어쩔 수 없지만…… 되도록이면 빨리 끝냈으면 좋겠어.
……いいけど、どうしてキッチンでしたいのかしら。何が良いのか、よくわからないわね……	…… 괜찮은데, 왜 부엌에서 하고 싶은 거야. 뭐가 좋은 건지 잘 모르겠어……
ご主人様がいるなら、周りの人なんて関係ない……。本当は二人きりがいいけど、ご主人様の言う事なら何でもするわ。	주인님이 있으면 주변의 사람 따위 상관 없어……. 사실은 단 둘이 좋지만, 주인님의 말이라면 뭐든지 할게.
ふふ、嬉しい……。ご主人様がいつも使ってるベッドでなんて、んぅ……胸がドキドキする……	후후, 기뻐……. 주인님이 항상 쓰는 침대에서…… 가슴이 두근두근거려……
いいわ、ご主人様。私の事、たくさん可愛がって……。私も、ご主人様にいっぱいご奉仕するから、ふふっ……	좋아, 주인님. 나를 잔뜩 귀여워해줘……. 나도 주인님에게 잔뜩 봉사할테니까, 후훗……
ふふ、わかったわ、プールでしたいのね。……もう、ご主人様のエッチ……スリルも楽しみたいなんて……	후후, 알았어, 수영장에서 하고싶은 거네. …… 정말, 주인님은 야해…… 스릴도 즐기고 싶다니……
お風呂でなんて、恋人や夫婦みたい……。なんだかドキドキしてきたわ……ご奉仕、たくさんするわね。	목욕탕에서라니, 연인이나 부부같아……. 뭔가 두근두근거려…… 봉사, 잔뜩 할게.
私はご主人様だけのメイドだから……。私の身体、好きに使ってほしい……	나는 주인님만의 메이드니까……. 내 몸, 마음대로 써주면 좋겠어……
いいわよ、ご主人様。……ご主人様にご奉仕できるなら、中庭でも嬉しいから。だから、たくさんご主人様を感じさせて……	좋아, 주인님. …… 주인님에게 봉사할 수 있다면 안뜰이라도 기쁘니까. 그러니까, 잔뜩 주인님을 느끼게 해줘……
ふふ、嬉しいわ……。自分の部屋でご主人様にご奉仕できるなんて……それだけで私、どうにかなってしまいそう……	후후, 기뻐……. 자기 방에서 주인님에게 봉사하다니…… 그것만으로도 나, 어떻게든 될 것 같아……
なんだか、もう胸が熱くなってきたわ……。畳の上で、ご主人様とだなんて……たくさんしましょうね、ご主人様……	뭔가, 벌써 가슴이 뜨거워졌어……. 다다미 위에서 주인님이랑 한다니…… 잔뜩 하자, 주인님……
もしかして、その……私の為に選んでくれたの？　う、自惚れかもしれないけど、嬉しいわ。……たくさんご奉仕させて、ご主人様……	혹시, 그…… 나를 위해서 선택해준 거야? 자, 자만일지도 모르지만, 기뻐. …… 잔뜩 봉사하게 해줘, 주인님……
ご主人様がしたいなら、外でも平気よ……。なんだか私まで変態みたい……でもご主人様と一緒なら、それくらい構わないわ。	주인님이 하고 싶다면 밖에서도 괜찮아……. 뭔가 나까지 변태같아…… 그치만 주인님과 함께라면 그 정도는 상관 없어.
……なんだか、その……キッチンでだなんて、一緒に暮らしてるみたいでドキドキするわ……。ご主人様も、そうは思わない？	…… 뭔가, 그…… 부엌에서라니, 같이 사는 것 같아서 두근두근거려……. 주인님도 그렇게 생각하지 않아?
どう、気分は？	어때, 기분은?
ふふ、なんだか頭がふわふわしてるわ……。はぅ、それにこれからご奉仕するって考えると、ドキドキするわね……	후후, 뭔가 머리가 어질어질해……. 거기다 지금부터 봉사한다고 생각하면 두근두근거려……
あぁ、俺もドキドキしてるよ。	아아, 나도 두근거려.
そう？　それは嬉しいわね。という事は、その……今日、たくさんするって事かしら。	그래? 그건 기쁘네. 그렇다는 건 그…… 오늘 많이 한다는 걸까.
当たり前じゃない、だってご主人様とするんだもの。……正直、今すぐにでもしたいくらい。	당연하잖아, 그거야 주인님이랑 하는 걸. …… 솔직히 당장이라도 하고 싶을 정도야.
大胆だね。……お酒のおかげかな。	대담하네. …… 술 때문일까.
それもあるけど、私……ご主人様とは、もっとしたいと思ってる、はぅん……	그것도 있지만, 나…… 주인님이랑 좀 더 하고 싶다고 생각해……
そうか。……それじゃ、今ここでしようか？	그런가 …… 그럼 지금 여기서 할까?
ご主人様ったら、いやらしいんだから……はぁ、あぅう……んぅっ……	주인님도 참 야하다니까…… 하아……
んん……！　ご、ご主人様、はぁはぁ、あぁん！　指、激しい……！　ひぅ！　あぁ……ひゃぁん！	…… 주, 주인님, 하아하아……! 손가락 격렬해……! 아아……!
この場所からでは、下手すれば誰かに聞こえてしまいかねないが……	여기서는 잘못하면 누군가에게 들려 버릴지도 몰라……
そ、そこいい、あぁん！　ご主人様、好き、大好きぃ……んん、はぅうう！　たくさん、私の中掻き回して……！	거, 거기 좋아, 아앙! 주인님, 좋아해, 너무 좋아해…… ! 잔뜩 내 안을 휘저어줘……!
あぅう、ご主人様ぁ！　はぁはぁ、わ、私の中、ぐちゅぐちゅって、いやらしい音してる……！　ご主人様の指、咥え込んでるから、はぅん！	……주인님! 하아하아, 내, 내 안이 찔꺽찔꺽 야한 소리를 내고 있어……! 주인님의 손가락을 물고 있으니까……!
だ、駄目、私ぃ、身体疼いてきてる……あぅう、ひゃぁん！　こんなところで、頭の中真っ白になりそう……！	아, 안돼, 나, 몸이 달아오르고 있어…… ! 이런데서 머리가 하얗게 될 것 같아……!
ぁああああっ！　わ、私ぃ、うぅ、もう我慢できないぃ！　はぁはぁ、イクイク、もうイクぅ、んんん～～～～～～っ！！	아아아앗! 나, 나…… 이제 못 참겠어! 하아하아, 가, 가, 이제 가버려……!!
肉襞は蠢き、愛液が滴り落ちていく。	질벽이 움찔거리며, 애액이 방울져서 떨어진다.
はぁ、はぁ、あぅう……。身体、まだ疼いてるぅ……頭、ふわふわして、んんぅ、ドキドキ治まらない……	하아, 하아……. 몸이 아직도 뜨거워…… 머리도 어질어질하고 두근거리는 게 멈춰지지 않아……
それなら、早く続きをしよう。	그럼 빨리 계속해서 하자.
そうね……。今度は指だけじゃなくても、他にもいろいろな事したいわ、はぁ、んぅっ……	그러네……. 이번엔 손가락 말고 다른 것도 이것저것 하고 싶어. 하아……
お酒が回っているせいだろう……普段よりもどこか無防備な雰囲気を纏っていた。	술기운이 돌고 있기 때문일 것이다…… 평소보다 어딘가 무방비한 분위기를 풍기고 있었다.
ふふ、ご主人様との夜伽、楽しみね……。私がたくさんご奉仕して、いっぱい気持ち良くするから。	후후, 주인님이랑 밤시중, 기다려지네……. 내가 많이 봉사해서 잔뜩 기분 좋게 해줄테니까.
本当？　それじゃ今日のご奉仕、楽しみにしてるね。	정말? 그럼 오늘의 봉사, 기대하고 있을게.
私はご主人様のメイドなんだから……ご主人様の為なら、どこでだって、なんだってするわ。	난 주인님의 메이드니까…… 주인님을 위해서라면 아무데서나 뭐든지 할게.
どこでも、なんでもって……本当？	아무데서나 뭐든지 한다니…… 진짜?
本当に決まっているじゃない。少しくらい酔っているからって、自分のメイドが信じられないの？	진짜인게 당연하잖아. 조금 취해 있다고 자기 메이드를 못 믿는 거야?
いやぁ、信じてるよ。それじゃ早速、有言実行してもらおうかな。	아니, 믿고 있어. 그럼 당장 그 말을 실행해볼까.
え、早速って……もしかして、この場でするって事？	에, 당장이라면…… 혹시, 여기서 한다는 거야?
ああ、そうだよ。お口でしてくれるかな……。もちろん、できるよね？	아아, 그래. 입으로 해줬으면……. 물론 할 수 있지?
はぅ、んちゅ……れるぅ、ぢゅ、じゅぶぅ……ご主人様の、熱くて……ちゅぷぅ、んぅ、美味しい、ちゅぷぅ……	…… 주인님의 거기, 뜨거워서……맛있어……
もっと、激しい方がいい？　じゅぷぅ、ぢゅるるぅ……んぷ、ご主人様、どう……？　れるぅ、ちゅ……んちゅぷぅ	좀 더 격렬한 편이 좋아? ……주인님, 어때……? ……
んちゅ、わかった、じゅぷぅ、ぢゅ、んじゅぅうう……！　はぅ、んちゅ、じゅぶぶぅ、お口熱くなってくる、ちゅぱっ！	……알았어……! ……입안이 뜨거워져……!
ごひゅじんひゃまの、んぷぅ、どんどん硬くなってる、はぅ、じゅぶぶぅ！　わたしのくち、ぢゅるぅ、じゅ、きもひいい？	주이니메 거기…… 점점 딱딱해지고 있어……! 내 입…… 기분 좋아?
れるぅ、んじゅぷぅ！　　いいよ、ごひゅじんひゃま、ちゅぷぅ、わたしのくちで出して、じゅるるぅ！　あつくてこいの、ぜんぶ……！	…… 좋아, 주이니임…… 내 입에 싸줘……! 뜨겁고 진한 거 전부……!
にがいあじ、くちのなかでひろがってる、んぷぅ、じゅぶぅ！　がまんしないでいいから、ごひゅじんひゃま、れるれろぉ、んぢゅぅううう……！	씁쓸한 맛이 입안에 퍼지고 있어……! 참지 않아도 괜찮으니까, 주인님……!
ぢゅるるぅ、じゅぶぶぶぅ！　せいえきほしいの、ごひゅじんひゃまぁ！　れるぅ、じゅ！　んちゅぅ、じゅぶぶぶぶぶぅ！	…… 정액 갖고 싶어, 주인님!……
んぷ……！？　んんぅうううううううううっ！　はぅ、じゅぶぅ……口の中、いっぱい……はぁ、はぁっ……たくさん出たわね……	………… 입안에 잔뜩…… 하아…… 많이 나왔네……
こくこく、んくっ……ふふ、ご主人様の精液、美味しい……ちゅぷ、んく、こくっ……	…… 후후, 주인님의 정액 맛있어…… ……
ご主人様にそう言ってもらえるなんて、嬉しいわ……。ふふ、もっとしましょう、ご主人様。	주인님이 그렇게 말해 주니 기뻐……. 후후, 좀 더 하자, 주인님.
あぁ、もちろんだよ。	아아, 물론이야.
はぁ、んぅう……ふふ、ご主人様、今二人きりね……	하아…… 후후, 주인님, 지금 둘만 있네……
あぁ、そうだね……どうしたの、ずいぶんと機嫌が良さそうじゃないか。	아아, 그러네…… 왜 그래, 기분이 되게 좋아 보이는데.
だって、ご主人様と一緒だし、お酒も飲んでるし……機嫌が良くならないわけがないでしょう？	그게, 주인님이랑 같이 술도 마시고 있고…… 기분이 좋아지지 않을 이유가 없잖아?
はは、それは嬉しいな。	하하, 그건 기쁘네.
だから、ね。……ご主人様、ここでキスしていい？	그러니, 까…… 주인님, 여기서 키스 해도 돼?
はぅ、んちゅ、んん……ご主人様ぁ、ちゅ、ちゅぷぅ……好きぃ、んぅう、大好きぃ……	…… 주인님, 좋아…… 너무 좋아……
もう我慢できない、ちゅぱっ、ここでもう、ご奉仕したい……れろぉ、ちゅ、んちゅぷぅ……	이제 못 참겠어. 여기서 바로 봉사하고 싶어…………
はぅ、じゅぷぅ……ちゅるぅ……本気よ、ご主人様ぁ……んちゅ、頭ふわふわして、すごく良い気分なの……	…… …… 진심이야, 주인님…… 머리가 어질어질해, 엄청 좋은 기분이야……
だってご主人様といたら、身体が疼いてきたから……。それよりも、ご主人様……早く挿れてほしい……	그게 주인님이랑 있으면 몸이 달아오르니까……. 그보다도, 주인님…… 빨리 넣어줬으면 좋겠어……
はぁ、んくぅん……！　奥まで太いのが、あっ、あっ……届いてる、んん、これが欲しかったの、はぅん……	하아……! 안쪽까지 굵은 것이…… 닿고 있어…… 이걸 갖고 싶었어……
カリが引っ掛かって、あぁ、んく……そこ、はぅ……先っぽが奥に当たって、あぅう、声抑えられない……！	귀두가 들어와서, 아아…… 거기…… 끝이 안쪽에 닿아서…… 소리를 못 참겠어……!
だって、ご主人様の気持ち良いからぁ、はぅん……私、頭の中ふわふわして、んくぅ、もっと激しくして、ご主人様ぁ……	그치만 주인님의 거기 기분 좋으니까…… 나 머릿속이 어질어질해…… 좀 더 격렬하게 해줘, 주인님……
そうか。それなら遠慮なく……	그런가. 그럼 사양하지 않고……
んんん～～～っ！　はぁはぁ、あぅ、ご主人様で、中がいっぱい、んく、ぁああああっ！	……하아하아, 주인님으로 안이 가득……!
んぅ、いやらしい音鳴ってる、はぅう、ご主人様にぜんぶ聞かれてる、あぁ、はぅうん！	야한 소리가 나오고 있어…… 주인님에게 전부 들리고 있어……!
き、気持ち良い、はぅ、わたし、ご主人様の事大好きで……あっ、んぅうう！　ご奉仕できるのが、嬉しいの……！	기, 기분 좋아, 나, 주인님을 정말 좋아해…… ! 봉사할 수 있다는 게 기뻐……!
もちろんよ、ご主人様ぁ、んくぅん！　はぁ、あぁん！　もっとたくさん、ご主人様を感じさせて……！	물론이야, 주인님…… 좀 더 잔뜩 주인님을 느끼게 해줘……!
んん、はぅう、ご主人様の熱くて、はぁはぁ、私の身体、疼いてくる……！　こ、こんなにされたら私、私ぃ、んひぃん！	……주인님의 것 뜨거워서, 하아하아, 내 몸이 달아 올라……! 이, 이렇게 되면 나, 나……!
あぅう、ご主人様ぁ！　そ、そんな事言われたら、抑えられなくなるぅ、んく、ひゃぁん！　私の中、もうぐちゅぐちゅで、はぅううう……！	……주인님! 그, 그런 걸 말하면, 참을 수 없어……! 내 안, 벌써 질척질척해……!
あっ、あっ、もう駄目ぇ！　奥まで熱くて、このまま蕩けるっ、んぅ、はぅうん！　好き、大好き、ご主人様ぁ！　ぁあああああっ……！	……이제 안돼! 안쪽까지 뜨거워져서 이대로 녹겠어……! 좋아해, 너무 좋아해, 주인님! 아아아앗……!
んひぃぃぃぃぃぃぃん！　はぅう、あぅううううん……！	…………!
膣内が収縮して、肉襞が精液を絞り出すかのようにペニスを刺激する。	질 내가 수축하고 질벽이 정액을 짜내려는 듯이 페니스를 자극한다.
はぅうううう……！　んくぅ、うぅう、す、すごい、ご主人様の精液が、奥にぃ……私の奥に、注ぎ込まれて、はぅ、熱いぃ……	…… 대, 대단해, 주인님의 정액이, 안쪽에…… 내 안쪽에 쏟아져서…… 뜨거워……
精液、こんなに……。嬉しいわ、ご主人様……んぅ、私の中で、こんなに感じてくれるなんて……	정액, 이렇게나……. 기뻐, 주인님…… 내 안에서 이렇게 느껴 주다니……
あぁ、ご主人様ぁ……精液勿体ない、はぅう……せっかく熱くて濃いの、こんなに出してくれたのに、零れて……	아아, 주인님…… 정액 아까워…… 모처럼 뜨겁고 진한 걸 이렇게 싸줬는데 흘러넘쳐……
大丈夫だよ、また出してあげるから。……それに、夜伽はまだまだこれからだろ？	괜찮아, 또 싸줄테니까. …… 그리고 밤시중은 아직 지금부터인데?
……そうね。わかったわ、ご主人様……んぅ、場所を変えて、続きをしましょう……？	…… 그러네, 알았어. 주인님……  장소를 바꿔서 계속 하자……?
ごめん、ご主人様……。んぅ……私、もう我慢できない、はぁ、はぁ……	미안, 주인님……. …… 나 이제 참을 수 없어, 하아, 하아……
我慢できないって、何が？	참을 수 없다니, 뭐가?
なんだかふわふわして、はぅう……いやらしい事で頭がいっぱいになってるから……	뭔가 어질어질 해…… 야한 일로 머리가 가득 차서……
ふぅん、そうなんだ。……それなら、自分ですればいいじゃないかな？	흠, 그렇구나…… 그럼 스스로 하면 되잖아?
じ、自分で……？　ご主人様は、その……してくれない……？　あぁ、はぅう……	스, 스스로……? 주인님이 그…… 해 주지 않을래……? ……
んぅ、それなら一人でする……はぁ、うぅ、このまま何もしないなんて、耐えられないから、はぁ、あぅうん……	……그럼 혼자서 할래…… 하아, 이대로 아무것도 안하면, 못 참겠으니까, 하아……
はぁ、あぅん……んん、身体がなんだか火照ってる……うぅ、ご主人様と一緒にいるだけで、ドキドキしてしまって……	하아…… 몸이 뭔가 달아오르고 있어…… 주인님이랑 함께 있는 것만으로도 두근거려……
ご主人様の前で、私ぃ、んぅう……自分の中弄って、はぁ、はぅう……こんないやらしい事してるなんて……ご主人様、嫌いにならないでね……	주인님의 앞에서 나…… 스스로 만지작거리고…… 이런 야한 짓을 하고 있어…… 주인님, 싫어하지 말아줘……
嫌いになったりしないけど……もしかして、俺の事を考えてオナニーしてる？	싫어하지는 않지만…… 혹시 날 생각하면서 자위하고 있어?
そ、それは、はぅん……だって、目の前にご主人様いるのに、触ってくれないから、自分でくちゅくちゅってして、んん……	그, 그건…… 그치만 눈앞에 주인님이 있는데 만져 주지 않으니까, 스스로 찔꺽찔꺽……
言わないでほしい、そんな事、はぁ、んぅう！　もうぐちゅぐちゅってして、あぅ、敏感なところ、硬くなってる……！	말하지 말아줘, 그런 거……! 벌써 질척질척해…… 민감한 곳이 딱딱해지고 있어……!
そしてそのまま、熱く充血しているクリトリスを指で弄り始めた。	그리고 그대로, 뜨겁게 충혈되어 있는 클리토리스를 손가락으로 만지작거리기 시작했다.
んひぃいん！？　あぁ、はぁはぁ、身体疼く、んん！　ご主人様の前で、もう止まらないぃ……！　熱くて、私ぃ、ぁあああっ！	……아아, 하아하아, 몸이 달아올라……! 주인님의 앞에서, 이제 멈출 수 없어……! 뜨거워서, 나……!
ずいぶんな乱れようだね。もうイキそうなの？	꽤나 흐트러지네. 이제 갈 것 같아?
え、ええ、もうイキそう、あぁ、んひぃん！　オナニー気持ち良くて、私駄目になりそう！　ひぅう！　はぁはぁ、んはぁあん！	으, 응, 이제 갈 것 같아……! 자위 기분 좋아서, 나 안될 것 같아! 하아하아……!
ご、ご主人様、あぅう、私がイクところ、見ていて！　ぁああっ、んぅ！　はぁん！　も、もう、イクぅ、ひやぁぁぁぁぁぁぁん！！	주, 주인님…… 내가 가는 걸 보고 있어! ……이, 이제 가버려……!!
はぁっ！　ん、くっ……んんんんんん～～～～～～～～！！	하앗! ……!!
その指先は自らの雫で濡れそぼり、卑猥な色気を湛えていた。	그 손가락 끝은 자신의 물방울로 흠뻑 젖어, 음란하게 반짝거리고 있었다.
はぁあ、んん～～～っ……あぁ、んぅう……ぐちゅぐちゅってしながら、私……。あぁ、こんなところで、オナニーでイクなんて……	하아…… 아아…… 질척질척 하면서 나……. 아아, 이런데서 자위로 가버리다니……
どう、気持ち良かった？	어때, 기분 좋았어?
すごく、んぅ……気持ち良かったわ……。だけど……	엄청…… 기분 좋았어……. 그런데……
だけど？	그렇지만?
自分でするだけじゃ、物足りない……。オナニーだけじゃ満足できないから、はぅうう……ご主人様としたい……	스스로 하는 걸로는 부족해……. 자위만으로는 만족 못하니까…… 주인님으로 하고 싶어……
すでに気持ちは、これからの夜伽でいっぱいになっているのだった。	이미 마음은 앞으로의 밤시중으로 가득 차있는 것이었다.
はぅう、ご主人様ぁ……。ちょっと、その……待ってもらっていいかしら？　はぁ、んぅっ……	주인님……. 잠깐, 그…… 기다려줄수 있을까? ……
傍目にもふらふらしているのがわかる。	옆에서 보기에도 휘청거리고 있는 것을 알 수 있다.
え、ええ、そうね……。はぅ、そのせいで、私ぃ……むずむずしてるから……	으, 응, 그러네……. 그래서 나…… 근질근질거려……
むずむずしてるっていうのは？	근질근질하고 있다는 건?
その、トイレに行きたい……。もう我慢できなくなりそうで、はぅう……このままだと、ここで漏れる……	그, 화장실 가고 싶어……. 이제 못 참겠어…… 이대로면 여기서 흘러나와……
ふぅん。漏らしちゃえば？	흐음. 나오게 하면 되잖아?
……え？　も、漏らすって……おしっこ、ここでって事……？　うぅ、ご主人様、何を言ってるの……	…… 응? 나, 나오게 하라니…… 오줌을 여기서……? 주인님, 무슨 말을 하는 거야……
ド、ドキドキなんて、してない……。んぅ……でもご主人様は、自分のメイドがこんなところで粗相をしていいの……？	두, 두근거리고 있지 않아……. …… 그치만 주인님은 자기 메이드가 이런데서 실수해도 괜찮은 거야……?
はぁ、はぅう……わ、私は、私は……その……	하아…… 나, 나는, 나는…… 그……
……大丈夫だよ。俺以外に、誰も見てる人なんかいないからさ。	…… 괜찮아. 나 말고는 아무도 보는 사람 없으니까.
わ、わかったわ……。私も、もう限界だったから、はぁ、んぅっ……	아, 알았어……. 나도 이제 한계니까, 하아……
私、こんなところでおしっこしようとしてるなんて……はぁ、あぅう、まるで変態みたい……	나, 이런데서 오줌누려고 하다니…… 마치 변태같아……
……ご主人様、意地悪言わないでほしい……。あぅ、も、もう出る、我慢できないぃ……	…… 주인님, 짓궂게 말하지 말아줘……. 이, 이제 나오는 거 못 참겠어……
はぁ、あぅう、だ、誰が来るかもしれないような場所で、ご主人様の前で……漏れる、おしっこ漏れる……っ！　ぁああああっ……！	하아…… 누, 누가 올지도 모르는 곳에서, 주인님의 앞에서…… 나와, 오줌 나와……!
尿が地面に雫を放ち、水溜りができていく。	지면에 오줌 물방울을 날려서 웅덩이가 생기고 있다.
どう、おしっこ漏らした気分は？	어때, 오줌 싼 기분은?
はぁ、はぁ……い、いけない事なのに、気持ち良くて、私ぃ……。駄目、ここお掃除しないと……	하아, 하아…… 아, 안되는데, 기분 좋아서 나……. 안돼, 여기 청소하지 않으면……
掃除なんて別にいいよ。このままにしておこう。	청소 같은 거 딱히 안해도 돼. 이대로 해 두자.
で、でもそれじゃ、うぅ……私のおしっこ、誰かに見られてしまうじゃない……	그, 그치만 그럼…… 내 오줌 누군가 봐 버리잖아……
それは、そうだけど……でも、その……いいの？	그건 그렇지만…… 그래도 그…… 괜찮아?
んっ、わかったわ……。私もそうだけど、ご主人様だって変態よ。それじゃ、続きは場所を変えてから……しましょう？	응, 알았어……. 나도 그렇지만 주인님도 변태야. 그럼 다음은 장소를 바꾸고 나서…… 하자?
……ご主人様、その……私、もう抑えられない……	…… 주인님, 그…… 나 이제 못 참겠어……
さっきからそわそわしている様子だったし、まさかとは思っていたけど……	아까부터 안절부절 못하는 것 같던데, 설마라고는 생각하지만……
そんな事言わないでほしい……。ご主人様が目の前にいるのに、我慢なんてできるわけないじゃない……	그런 말은 안했으면 좋겠어……. 주인님이 눈앞에 있는데 참을 수 있을리가 없잖아……
そうか。……じゃあ、ちゃんとおねだりできる？	그런가. …… 그럼 제대로 졸라댈 수 있겠어?
お、おねだり……？　ご主人様、おねだりすれば、ここでキスさせてくれる……？	조, 조르라고……? 주인님, 졸라대면 여기서 키스해 주는 거야……?
言えるわ、ご主人様……。んんぅ、キスさせて、お願い……！　私は、待ちきれなくてキスしたくなってるいやらしいメイドだけど……	말할게, 주인님……. 키스해줘, 부탁해……! 난 참지 못하고 키스 하고 싶어하는 음란한 메이드니까……
ご主人様の事、大好きだから……せめて、キスだけでもさせて、ご主人様……	주인님을 정말 좋아하니까…… 적어도 키스라도 해줘, 주인님……
はい、よくできました。	네, 잘 말했습니다.
はぅ、んちゅ……ちゅぷぅ……好き、好きぃ、ご主人様……はぁ、んぢゅぅ……！	………… 좋아해, 좋아해, 주인님…… 하아……!
だってご主人様の、大好きだから……んぷ、ぢゅっ……ご主人様は、私の事好き……？　ちゅるぅ……じゅ、ぢゅぷぅ……	그거야 주인님을 정말 좋아하니까…… …… 주인님은 날 좋아해……?  ……
わかった、ちゅっ、んちゅぷぅ……私のキス、たくさん味わって、ちゅぷぅ……はぅ、ちゅぱっ……	알았어…… 내 키스, 잔뜩 맛 봐 …… ……
俺の唇にその先端が触れて、口内へと侵入してくる。	나의 입술에 그 끝이 닿아서, 입안으로 들어온다.
んぢゅぅ、じゅっ……れるぅ、んぷぅ……どう、ご主人様……？　ちゅるるぅ、んん、じゅぶぅ……！	…… …… 어때, 주인님……? ……!
ぢゅぷ、嬉しい、ご主人様……。私、ご主人様にもっとご奉仕がしたい、ご主人様に気持ち良くなってほしい、れるぅ、んちゅぷぅ……！	……기뻐, 주인님……. 나 주인님에게 좀 더 봉사하고 싶어. 주인님을 기분 좋게 해주고 싶어……!
それなら、早く場所を変えよう……。ここじゃ、続きがやりにくい。	그럼 빨리 장소를 바꾸자……. 여기서는 이 다음을 하기 힘들어.
私は別に、んちゅぅ……ここでしても、構わない、れろぉ、じゅっ……ちゅぷ、んぷぅ……	나는 딱히…… 여기서 해도 상관 없어…… ……
そう、わかったわ……じゅぷぅ、ちゅぅ……でも、もう少しだけキスさせて、んちゅ、好き、好きなの、ご主人様、大好きぃ……	그래, 알았어…… … 그치만 조금만 더 키스 해줘…… 좋아해, 좋아해, 주인님, 너무 좋아해……
ご、ご主人様……。その、ちょっといいかしら。	주, 주인님……. 그, 잠깐 괜찮을까.
そうじゃないの、体調は問題ないわ。……そうじゃなくて、ご主人様、ちょっと動かないで。	그런 건 아냐, 컨디션은 문제 없어. …… 그게 아니라 주인님, 잠깐 움직이지 마.
その、口でしたいの……私、抑えられなくて……。ご奉仕させて……	그, 입으로 하고 싶어…… 나 못 참겠어……. 봉사하게 해줘……
はぅ、んちゅ……これが欲しかった、じゅぶぅ……ご主人様の大きいの、私の口で、れろぉ、ちゅ、じゅぷぅ……	…… 이걸 갖고 싶었어…… 주인님의 커다란 걸 내 입으로 ……
それが逆に欲情を誘う……卑猥な口使いで、俺のモノを責め立てていく。	그것이 반대로 욕정을 부르고…… 음란한 입 사용으로, 나의 것을 몰아세운다.
だって私、れろぉ、じゅるぅ……ご主人様の事、大好きだから、ちゅぱっ……早くご奉仕したくて、んぷ、ちゅぅ……じゅぶぶぅ……	왜냐면 나…… 주인님을 정말 좋아하니까…… 빨리 봉사하고 싶어서…………
ちゅるるぅ、んぅ……これでも私、我慢していたのよ、ちゅぷぅ……でも、ご主人様を前にしたら、はぅ、抑えきれなくて、んちゅぷ……	…… 이래보여도 나 참고 있었던 거야…… 그치만 주인님을 앞에 두면 참을 수가 없어서……
